name,topic,difficulty,link
Search in a Binary Search Tree,BST,Easy,https://leetcode.com/problems/search-in-a-binary-search-tree/
Find MinMax in BST,BST,Easy,https://practice.geeksforgeeks.org/problems/minimum-element-in-bst/1
Ceil & Floor in a Binary Search Tree,BST,Medium,https://practice.geeksforgeeks.org/problems/floor-in-bst/1
Insert a given Node in Binary Search Tree,BST,Medium,https://leetcode.com/problems/insert-into-a-binary-search-tree/
Delete a Node in Binary Search Tree,BST,Medium,https://leetcode.com/problems/delete-node-in-a-bst/
Check if a tree is a BST or BT,BST,Medium,https://leetcode.com/problems/validate-binary-search-tree/
LCA in Binary Search Tree,BST,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
Find Kth smallest or largest element in BST,BST,Medium,https://leetcode.com/problems/kth-smallest-element-in-a-bst/
Inorder Successor Predecessor in BST,BST,Medium,https://practice.geeksforgeeks.org/problems/predecessor-and-successor/1
Check if there exists a pair with Sum K,BST,Easy,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/
Construct a BST from a preorder traversal,BST,Medium,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/
Correct BST with two nodes swapped,BST,Medium,https://leetcode.com/problems/recover-binary-search-tree/
Largest BST in Binary Tree,BST,Hard,https://practice.geeksforgeeks.org/problems/largest-bst/1
Merge 2 BSTs,BST,Hard,https://practice.geeksforgeeks.org/problems/merge-two-bst-s/1
Graph and Types,Graphs,Easy,https://practice.geeksforgeeks.org/problems/graph-and-vertices/1
BFS,Graphs,Easy,https://practice.geeksforgeeks.org/problems/bfs-traversal-of-graph/1
DFS,Graphs,Easy,https://practice.geeksforgeeks.org/problems/depth-first-traversal-for-a-graph/1
Number of provinces,Graphs,Medium,https://leetcode.com/problems/number-of-provinces/
Connected Components Problem in Matrix,Graphs,Medium,https://leetcode.com/problems/number-of-provinces/
Flood fill,Graphs,Easy,https://leetcode.com/problems/flood-fill/
Rotten Oranges,Graphs,Medium,https://leetcode.com/problems/rotting-oranges/
Cycle Detection in Undirected Graph (bfs),Graphs,Medium,https://practice.geeksforgeeks.org/problems/detect-cycle-in-an-undirected-graph/1
Cycle Detection in Undirected Graph (dfs),Graphs,Medium,https://practice.geeksforgeeks.org/problems/detect-cycle-in-an-undirected-graph/1
0-1 Matrix (Bfs Problem),Graphs,Medium,https://leetcode.com/problems/01-matrix/
Surrounded Regions (dfs),Graphs,Medium,https://leetcode.com/problems/surrounded-regions/
Number of Enclaves,Graphs,Medium,https://leetcode.com/problems/number-of-enclaves/
Number of Distinct Islands,Graphs,Medium,https://practice.geeksforgeeks.org/problems/number-of-distinct-islands/1
Bipartite Graph (DFS),Graphs,Medium,https://leetcode.com/problems/is-graph-bipartite/
Word ladder - 1,Graphs,Hard,https://leetcode.com/problems/word-ladder/
Word ladder - 2,Graphs,Hard,https://leetcode.com/problems/word-ladder-ii/
Minimum steps to reach end from start by performing multiplication and mod operations with array elements,Graphs,Medium,https://practice.geeksforgeeks.org/problems/minimum-multiplications-to-reach-end/1
Cycle Detection in Directed Graph (DFS),Graphs,Medium,https://practice.geeksforgeeks.org/problems/detect-cycle-in-a-directed-graph/1
Topo Sort,Graphs,Medium,https://practice.geeksforgeeks.org/problems/topological-sort/1
Kahn's Algorithm,Graphs,Medium,https://practice.geeksforgeeks.org/problems/topological-sort/1
Cycle Detection in Directed Graph (BFS),Graphs,Medium,https://practice.geeksforgeeks.org/problems/detect-cycle-in-a-directed-graph/1
Course Schedule - I,Graphs,Medium,https://leetcode.com/problems/course-schedule/
Course Schedule - II,Graphs,Medium,https://leetcode.com/problems/course-schedule-ii/
Find eventual safe states,Graphs,Medium,https://leetcode.com/problems/find-eventual-safe-states/
Alien dictionary,Graphs,Hard,https://practice.geeksforgeeks.org/problems/alien-dictionary/1
Shortest Path in UG with unit weights,Graphs,Medium,https://practice.geeksforgeeks.org/problems/shortest-path-in-undirected-graph-having-unit-distance/1
Shortest Path in DAG,Graphs,Medium,https://practice.geeksforgeeks.org/problems/shortest-path-in-undirected-graph/1
Djisktra's Algorithm,Graphs,Medium,https://practice.geeksforgeeks.org/problems/implementing-dijkstra-set-1-adjacency-matrix/1
Shortest path in a binary maze,Graphs,Medium,https://leetcode.com/problems/shortest-path-in-binary-matrix/
Path with minimum effort,Graphs,Medium,https://leetcode.com/problems/path-with-minimum-effort/
Cheapest flights within k stops,Graphs,Medium,https://leetcode.com/problems/cheapest-flights-within-k-stops/
Network Delay time,Graphs,Medium,https://leetcode.com/problems/network-delay-time/
Number of ways to arrive at destination,Graphs,Medium,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination/
Find the city with the smallest number of neighbors in a threshold distance,Graphs,Medium,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/
Bellman Ford Algorithm,Graphs,Medium,https://practice.geeksforgeeks.org/problems/distance-from-the-source-bellman-ford-algorithm/1
Floyd Warshal Algorithm,Graphs,Medium,https://practice.geeksforgeeks.org/problems/implementation-of-floyd-warshall3201/1
Minimum Spanning Tree,Graphs,Medium,https://practice.geeksforgeeks.org/problems/minimum-spanning-tree/1
Prim's Algorithm,Graphs,Medium,https://practice.geeksforgeeks.org/problems/minimum-spanning-tree/1
Disjoint Set (Union by Rank),Graphs,Medium,https://practice.geeksforgeeks.org/problems/disjoint-set-union-find/1
Disjoint Set (Union by Size),Graphs,Medium,https://practice.geeksforgeeks.org/problems/disjoint-set-union-find/1
Kruskal's Algorithm,Graphs,Medium,https://practice.geeksforgeeks.org/problems/minimum-spanning-tree/1
Number of operations to make network connected,Graphs,Medium,https://leetcode.com/problems/number-of-operations-to-make-network-connected/
Most stones removed with same rows or columns,Graphs,Medium,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/
Accounts merge,Graphs,Medium,https://leetcode.com/problems/accounts-merge/
Number of island II,Graphs,Hard,https://practice.geeksforgeeks.org/problems/number-of-islands-4114/1
Making a Large Island,Graphs,Hard,https://leetcode.com/problems/making-a-large-island/
Swim in rising water,Graphs,Hard,https://leetcode.com/problems/swim-in-rising-water/
Bridges in Graph,Graphs,Hard,https://leetcode.com/problems/critical-connections-in-a-network/
Articulation Point,Graphs,Hard,https://practice.geeksforgeeks.org/problems/articulation-point-1/1
Kosaraju's Algorithm,Graphs,Hard,https://practice.geeksforgeeks.org/problems/strongly-connected-components-kosarajus-algo/1
Climbing Stars,DP,Easy,https://leetcode.com/problems/climbing-stairs/
Frog Jump,DP,Medium,https://practice.geeksforgeeks.org/problems/geek-jump/1
Frog Jump with k distances,DP,Medium,https://practice.geeksforgeeks.org/problems/minimal-cost/1
Maximum sum of non-adjacent elements,DP,Medium,https://practice.geeksforgeeks.org/problems/max-sum-without-adjacents2430/1
House Robber,DP,Medium,https://leetcode.com/problems/house-robber/
Ninja's Training,DP,Medium,https://practice.geeksforgeeks.org/problems/geeks-training/1
Grid Unique Paths : DP on Grids,DP,Medium,https://leetcode.com/problems/unique-paths/
Grid Unique Paths 2,DP,Medium,https://leetcode.com/problems/unique-paths-ii/
Minimum path sum in Grid,DP,Medium,https://leetcode.com/problems/minimum-path-sum/
Minimum path sum in Triangular Grid,DP,Medium,https://leetcode.com/problems/triangle/
Minimum/Maximum Falling Path Sum,DP,Medium,https://leetcode.com/problems/minimum-falling-path-sum/
3-d DP : Ninja and his friends,DP,Hard,https://practice.geeksforgeeks.org/problems/chocolates-pickup/1
Assign Cookies,DP,Easy,https://leetcode.com/problems/assign-cookies/
Subset sum equal to target,DP,Medium,https://practice.geeksforgeeks.org/problems/subset-sum-problem2014/1
Partition Equal Subset Sum,DP,Medium,https://leetcode.com/problems/partition-equal-subset-sum/
Partition Set Into 2 Subsets With Min Absolute Sum Diff,DP,Hard,https://practice.geeksforgeeks.org/problems/minimum-sum-partition3317/1
Count Subsets with Sum K,DP,Medium,https://practice.geeksforgeeks.org/problems/perfect-sum-problem5653/1
Count Partitions with Given Difference,DP,Medium,https://practice.geeksforgeeks.org/problems/partitions-with-given-difference/1
Target Sum,DP,Medium,https://leetcode.com/problems/target-sum/
Minimum Coins,DP,Medium,https://practice.geeksforgeeks.org/problems/number-of-coins1824/1
Coin Change 2,DP,Medium,https://leetcode.com/problems/coin-change-ii/
Unbounded Knapsack,DP,Medium,https://practice.geeksforgeeks.org/problems/knapsack-with-duplicate-items4201/1
Rod Cutting Problem,DP,Medium,https://practice.geeksforgeeks.org/problems/rod-cutting0840/1
Longest Common Subsequence,DP,Medium,https://leetcode.com/problems/longest-common-subsequence/
Print Longest Common Subsequence,DP,Medium,https://practice.geeksforgeeks.org/problems/print-all-lcs-sequences3413/1
Longest Common Substring,DP,Medium,https://practice.geeksforgeeks.org/problems/longest-common-substring1451/1
Shortest Common Supersequence,DP,Hard,https://leetcode.com/problems/shortest-common-supersequence/
Minimum Insertions/Deletions to Convert String,DP,Medium,https://practice.geeksforgeeks.org/problems/minimum-number-of-deletions-and-insertions0209/1
Longest Palindromic Subsequence,DP,Medium,https://leetcode.com/problems/longest-palindromic-subsequence/
Minimum insertions to make string palindrome,DP,Medium,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome/
Distinct Subsequences,DP,Hard,https://leetcode.com/problems/distinct-subsequences/
Edit Distance,DP,Hard,https://leetcode.com/problems/edit-distance/
Wildcard Matching,DP,Hard,https://leetcode.com/problems/wildcard-matching/
Best Time to Buy and Sell Stock,DP,Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
Buy and Sell Stock - II,DP,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/
Buy and Sell Stocks With Transaction Fee,DP,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/
Buy and Sell Stocks With Cooldown,DP,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/
Buy and Sell Stocks III,DP,Hard,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/
Buy and Stock Sell IV,DP,Hard,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/
Longest Increasing Subsequence,DP,Medium,https://leetcode.com/problems/longest-increasing-subsequence/
Printing Longest Increasing Subsequence,DP,Medium,https://practice.geeksforgeeks.org/problems/printing-longest-increasing-subsequence/1
Longest Increasing Subsequence,DP,Medium,https://leetcode.com/problems/longest-increasing-subsequence/
Largest Divisible Subset,DP,Medium,https://leetcode.com/problems/largest-divisible-subset/
Longest String Chain,DP,Medium,https://leetcode.com/problems/longest-string-chain/
Longest Bitonic Subsequence,DP,Medium,https://practice.geeksforgeeks.org/problems/longest-bitonic-subsequence2504/1
Number of Longest Increasing Subsequences,DP,Medium,https://leetcode.com/problems/number-of-longest-increasing-subsequence/
Matrix Chain Multiplication,DP,Hard,https://practice.geeksforgeeks.org/problems/matrix-chain-multiplication0303/1
Matrix Chain Multiplication | Bottom-Up,DP,Hard,https://practice.geeksforgeeks.org/problems/matrix-chain-multiplication0303/1
Partition Array for Maximum Sum,DP,Medium,https://leetcode.com/problems/partition-array-for-maximum-sum/
Palindrome Partitioning - II,DP,Hard,https://leetcode.com/problems/palindrome-partitioning-ii/
Minimum Cost to Cut the Stick,DP,Hard,https://leetcode.com/problems/minimum-cost-to-cut-a-stick/
Burst Balloons,DP,Hard,https://leetcode.com/problems/burst-balloons/
Evaluate Boolean Expression to True,DP,Hard,https://practice.geeksforgeeks.org/problems/boolean-parenthesization5610/1
Maximum Rectangle Area with all 1's,DP,Hard,https://leetcode.com/problems/maximal-rectangle/
Count Square Submatrices with All Ones,DP,Medium,https://leetcode.com/problems/count-square-submatrices-with-all-ones/
"Implement TRIE, INSERT, SEARCH, STARTSWITH",Tries,Medium,https://leetcode.com/problems/implement-trie-prefix-tree/
Implement Trie - 2 (Prefix Tree),Tries,Medium,https://www.naukri.com/code360/problems/implement-trie_1387095
Longest String with All Prefixes,Tries,Medium,https://practice.geeksforgeeks.org/problems/longest-string-with-all-prefixes/1
Number of Distinct Substrings in a String,Tries,Medium,https://practice.geeksforgeeks.org/problems/number-of-distinct-substrings-in-a-string/1
Maximum XOR of two numbers in an array,Tries,Medium,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/
Maximum XOR With an Element From Array,Tries,Hard,https://leetcode.com/problems/maximum-xor-with-an-element-from-array/
